               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.032914,            0.070484,           0.0036901,             0.92298,             0.96423,             0.96734,             0.60909,            0.029268,            0.041542,           0.0024693,           0.0091585,           0.0091585,           0.0091585
                  36,             0.03283,            0.068157,           0.0034061,             0.95264,              0.9487,              0.9639,             0.65276,            0.027342,            0.040611,           0.0022183,           0.0091337,           0.0091337,           0.0091337
                  37,            0.031489,             0.06683,           0.0034804,             0.94916,             0.94278,             0.96355,             0.67405,            0.026907,            0.040607,           0.0022051,            0.009109,            0.009109,            0.009109
                  38,            0.031334,            0.065167,            0.003444,             0.95346,             0.96756,             0.97421,             0.69459,            0.025676,             0.03904,           0.0021154,           0.0090843,           0.0090843,           0.0090843
                  39,            0.031665,            0.067682,            0.003469,             0.94956,             0.95858,             0.97326,             0.65264,            0.026705,            0.039772,           0.0026942,           0.0090595,           0.0090595,           0.0090595
                  40,            0.031511,            0.068612,           0.0032241,             0.95145,             0.95206,             0.97215,             0.63317,            0.028477,            0.040989,           0.0024034,           0.0090347,           0.0090347,           0.0090347
                  41,            0.031681,             0.06703,           0.0030535,             0.95415,             0.94515,             0.96831,             0.66755,            0.025852,            0.039803,           0.0020884,             0.00901,             0.00901,             0.00901
                  42,            0.031182,            0.065883,            0.003489,             0.93051,             0.96643,             0.96594,             0.69087,            0.025344,            0.038532,           0.0027192,           0.0089853,           0.0089853,           0.0089853
                  43,            0.030633,              0.0684,           0.0031261,             0.94215,             0.96466,             0.97521,             0.68363,            0.026465,            0.040791,           0.0019006,           0.0089605,           0.0089605,           0.0089605
                  44,            0.030952,            0.065499,           0.0033866,              0.9361,               0.963,             0.96648,             0.64557,            0.028161,            0.041199,           0.0019917,           0.0089358,           0.0089358,           0.0089358
                  45,            0.031637,            0.067473,           0.0033148,             0.93617,               0.964,             0.96282,              0.6613,            0.026295,            0.039989,           0.0019798,            0.008911,            0.008911,            0.008911
                  46,            0.030385,            0.065394,           0.0030839,             0.92662,                0.96,             0.96404,             0.66963,            0.026418,            0.039886,           0.0023997,           0.0088863,           0.0088863,           0.0088863
                  47,            0.031093,             0.06567,            0.003225,             0.94169,             0.96128,             0.96854,             0.65003,             0.02687,            0.039833,           0.0023619,           0.0088615,           0.0088615,           0.0088615
                  48,            0.030248,            0.067991,           0.0033653,             0.94796,             0.95524,             0.97121,             0.67509,            0.025989,            0.039879,           0.0022955,           0.0088368,           0.0088368,           0.0088368
                  49,            0.031047,            0.066229,            0.002912,             0.94715,             0.96357,             0.96698,              0.6797,            0.026095,            0.039608,           0.0021446,            0.008812,            0.008812,            0.008812
                  50,            0.030352,            0.065649,           0.0033782,             0.94725,             0.95481,             0.96307,             0.64528,            0.026734,            0.039883,           0.0018381,           0.0087872,           0.0087872,           0.0087872
                  51,            0.030466,            0.064732,            0.002813,             0.94113,             0.94681,             0.97181,             0.66836,            0.026308,            0.039215,           0.0025279,           0.0087625,           0.0087625,           0.0087625
                  52,            0.030722,            0.063292,           0.0029043,             0.95065,             0.95707,             0.95969,             0.67305,            0.026101,            0.039665,           0.0017923,           0.0087378,           0.0087378,           0.0087378
                  53,            0.030437,            0.065038,           0.0031507,             0.94865,              0.9587,             0.96218,             0.68042,             0.02523,            0.038887,           0.0018449,            0.008713,            0.008713,            0.008713
                  54,            0.030021,            0.064402,           0.0028487,              0.9512,             0.94923,             0.95814,             0.63503,            0.026909,              0.0396,           0.0027132,           0.0086882,           0.0086882,           0.0086882
                  55,             0.02996,            0.066922,            0.002868,             0.94027,             0.95577,             0.96026,             0.66722,            0.026271,            0.040501,            0.002648,           0.0086635,           0.0086635,           0.0086635
                  56,            0.029664,            0.066398,           0.0030328,             0.94137,             0.96286,             0.96156,             0.69254,            0.025401,            0.038971,           0.0026278,           0.0086388,           0.0086388,           0.0086388
                  57,            0.030466,            0.066016,           0.0030159,             0.94118,             0.96206,              0.9627,             0.64285,             0.02733,            0.040157,           0.0020393,            0.008614,            0.008614,            0.008614
                  58,            0.030535,            0.066517,           0.0031764,             0.94062,              0.9447,             0.95855,             0.65689,            0.026623,            0.039539,           0.0017646,           0.0085893,           0.0085893,           0.0085893
                  59,            0.029877,            0.063738,            0.002906,             0.95183,             0.94598,             0.95784,             0.67311,            0.025398,            0.038441,           0.0020758,           0.0085645,           0.0085645,           0.0085645
                  60,            0.028911,             0.06277,           0.0025921,              0.9446,              0.9452,             0.96879,             0.66193,            0.025821,            0.039425,           0.0021993,           0.0085398,           0.0085398,           0.0085398
                  61,            0.029528,            0.062316,           0.0028954,             0.92991,             0.95641,             0.96688,             0.67825,            0.026785,            0.039917,           0.0028064,            0.008515,            0.008515,            0.008515
                  62,            0.030223,             0.06311,           0.0030697,             0.94896,              0.9459,             0.95991,             0.67173,            0.025657,            0.038845,           0.0028027,           0.0084903,           0.0084903,           0.0084903
                  63,            0.029835,            0.062552,           0.0026049,             0.93471,             0.96682,             0.96665,             0.68211,             0.02547,            0.038361,           0.0026884,           0.0084655,           0.0084655,           0.0084655
                  64,             0.02855,            0.061922,            0.002696,             0.93306,             0.95767,             0.95972,             0.66043,            0.026066,            0.038975,           0.0018456,           0.0084408,           0.0084408,           0.0084408
                  65,            0.029111,            0.064051,           0.0029479,             0.94164,             0.96124,             0.96271,              0.6887,            0.025241,            0.038879,           0.0017774,            0.008416,            0.008416,            0.008416
                  66,            0.029228,            0.062606,           0.0027065,             0.94843,             0.95299,             0.96118,             0.66858,            0.026031,            0.038818,            0.002246,           0.0083913,           0.0083913,           0.0083913
                  67,            0.029484,            0.062203,           0.0030448,             0.93805,             0.96352,             0.96659,             0.67752,            0.025176,            0.037941,           0.0022021,           0.0083665,           0.0083665,           0.0083665
                  68,            0.029137,            0.062452,           0.0026618,             0.95014,             0.95821,             0.96339,             0.67995,            0.025722,              0.0392,           0.0019377,           0.0083418,           0.0083418,           0.0083418
                  69,            0.028416,            0.061891,           0.0026942,             0.94503,             0.95816,             0.96633,             0.65775,            0.026302,            0.038975,           0.0019597,            0.008317,            0.008317,            0.008317
                  70,            0.028839,            0.066074,           0.0028083,             0.95063,             0.96401,             0.96609,              0.6572,            0.026787,            0.040134,           0.0029892,           0.0082922,           0.0082922,           0.0082922
                  71,            0.028607,            0.063247,           0.0028267,             0.95487,             0.95413,             0.95829,             0.63983,            0.027332,            0.040272,           0.0018151,           0.0082675,           0.0082675,           0.0082675
                  72,            0.027899,            0.061493,           0.0028845,             0.94789,             0.95056,             0.95932,             0.66769,            0.026068,             0.03933,           0.0018932,           0.0082428,           0.0082428,           0.0082428
                  73,            0.028551,            0.062867,           0.0024358,             0.93303,             0.96698,             0.96334,             0.67446,            0.026002,            0.039566,           0.0018343,            0.008218,            0.008218,            0.008218
                  74,             0.02917,            0.065013,           0.0026681,             0.94175,             0.96621,             0.96645,             0.67155,            0.025885,            0.039509,           0.0018373,           0.0081932,           0.0081932,           0.0081932
                  75,            0.028113,            0.064735,           0.0029699,             0.93829,             0.95972,             0.96385,             0.67454,            0.025287,            0.038597,           0.0018999,           0.0081685,           0.0081685,           0.0081685
                  76,            0.029163,            0.064082,           0.0027688,             0.94043,             0.95129,             0.96218,             0.68512,            0.025135,             0.03931,           0.0019381,           0.0081437,           0.0081437,           0.0081437
                  77,            0.027944,             0.06382,           0.0027534,             0.95345,             0.95011,             0.96369,             0.69365,            0.024507,            0.038578,           0.0024976,            0.008119,            0.008119,            0.008119
                  78,            0.028646,             0.06081,           0.0023914,             0.95683,             0.95386,              0.9638,             0.68216,            0.025113,            0.038658,            0.002759,           0.0080942,           0.0080942,           0.0080942
                  79,            0.027596,            0.060869,           0.0025252,             0.93894,             0.95232,             0.95655,              0.6862,            0.024543,             0.03849,           0.0022465,           0.0080695,           0.0080695,           0.0080695
                  80,            0.028506,            0.061962,           0.0025487,             0.94651,             0.94303,             0.96243,             0.67474,            0.025105,            0.039001,           0.0022144,           0.0080447,           0.0080447,           0.0080447
                  81,            0.028257,            0.063131,           0.0028982,             0.94112,             0.96095,             0.96364,             0.67254,            0.025916,            0.039364,           0.0023116,             0.00802,             0.00802,             0.00802
                  82,            0.027879,            0.060983,           0.0026962,             0.95381,             0.94262,              0.9662,             0.67455,            0.025715,            0.038998,           0.0019257,           0.0079953,           0.0079953,           0.0079953
                  83,            0.027592,            0.060184,           0.0025487,             0.93367,             0.95382,             0.96267,             0.68102,            0.025295,            0.039474,           0.0018959,           0.0079705,           0.0079705,           0.0079705
                  84,            0.027803,            0.061698,           0.0025396,             0.94273,             0.95164,             0.95604,              0.6505,            0.026246,            0.038971,           0.0023498,           0.0079457,           0.0079457,           0.0079457
                  85,            0.027479,            0.062146,           0.0025816,             0.95314,             0.94402,             0.95829,             0.66224,             0.02528,            0.038712,           0.0023806,            0.007921,            0.007921,            0.007921
                  86,             0.02801,            0.061524,           0.0027188,             0.93187,             0.95612,             0.95805,             0.68235,             0.02508,            0.039536,           0.0019062,           0.0078963,           0.0078963,           0.0078963
                  87,            0.027415,            0.060646,           0.0024737,             0.93798,             0.95097,             0.96063,             0.65665,            0.026111,            0.039768,           0.0017949,           0.0078715,           0.0078715,           0.0078715
                  88,            0.027279,            0.059782,           0.0022445,             0.94226,             0.93962,             0.95677,             0.65937,            0.026106,            0.040005,           0.0017532,           0.0078467,           0.0078467,           0.0078467
                  89,             0.02709,            0.060285,           0.0025681,             0.94748,             0.94199,             0.95227,             0.65515,            0.025407,            0.039249,           0.0026104,            0.007822,            0.007822,            0.007822
                  90,            0.027881,            0.062945,           0.0025089,             0.93777,             0.95601,             0.95782,             0.67991,            0.024888,            0.039024,            0.001846,           0.0077973,           0.0077973,           0.0077973
                  91,            0.027575,            0.059912,           0.0026649,             0.94778,             0.95086,             0.96845,             0.67648,            0.025555,            0.039173,           0.0017413,           0.0077725,           0.0077725,           0.0077725
                  92,            0.027153,            0.060224,           0.0025106,             0.94903,             0.95688,             0.96279,             0.66863,            0.025409,            0.039528,           0.0023502,           0.0077478,           0.0077478,           0.0077478
                  93,            0.027362,              0.0617,           0.0025754,             0.94644,             0.94377,             0.96066,             0.67125,            0.025606,            0.039436,           0.0020349,            0.007723,            0.007723,            0.007723
                  94,            0.026935,            0.059379,           0.0023465,              0.9369,             0.94988,              0.9646,             0.66685,             0.02562,            0.038784,           0.0024848,           0.0076983,           0.0076983,           0.0076983
                  95,            0.027512,              0.0615,           0.0025103,             0.93881,             0.94909,              0.9575,             0.65672,            0.025616,            0.039257,           0.0022692,           0.0076735,           0.0076735,           0.0076735
                  96,            0.027406,            0.061874,           0.0024877,             0.94603,               0.958,             0.96517,             0.68628,            0.025457,            0.039635,           0.0027518,           0.0076488,           0.0076488,           0.0076488
                  97,            0.027469,            0.060533,           0.0025356,              0.9516,             0.95437,             0.96798,              0.6661,            0.025722,            0.039631,            0.002137,            0.007624,            0.007624,            0.007624
                  98,            0.027157,            0.059801,           0.0026183,             0.94523,             0.96222,             0.95866,             0.66244,            0.025504,            0.039814,           0.0021503,           0.0075993,           0.0075993,           0.0075993
                  99,            0.027368,            0.059916,           0.0023691,             0.94165,             0.95241,             0.96243,             0.65968,            0.025884,            0.039333,           0.0022003,           0.0075745,           0.0075745,           0.0075745
                 100,            0.026126,              0.0597,           0.0024704,             0.94846,             0.94753,             0.96978,              0.6918,            0.025281,            0.038727,           0.0029319,           0.0075498,           0.0075498,           0.0075498
                 101,            0.027277,            0.058046,           0.0022951,             0.95291,             0.93973,             0.95816,              0.6695,            0.025551,            0.039074,            0.002604,            0.007525,            0.007525,            0.007525
                 102,            0.026306,            0.056846,           0.0021651,             0.95139,             0.93404,             0.96521,             0.67396,             0.02564,             0.03833,           0.0019829,           0.0075003,           0.0075003,           0.0075003
                 103,            0.026934,            0.059876,           0.0023934,             0.94051,             0.95727,             0.95835,             0.68052,            0.024641,            0.039177,           0.0021044,           0.0074755,           0.0074755,           0.0074755
